G:\pixelArtist\src\framework\gr\network-visualization\Datavisualization.Network\network_graph-netcore5.vbproj : warning NU1510: PackageReference System.Drawing.Primitives will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary. [g:\pixelArtist\src\framework\gr\network-visualization\Datavisualization.Network\network_graph-netcore5.vbproj::TargetFramework=net10.0]
g:\pixelArtist\src\framework\gr\network-visualization\network_layout\network_layout.vbproj : warning NU1510: PackageReference System.Drawing.Primitives will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary. [TargetFramework=net10.0]
G:\pixelArtist\src\framework\Data_science\Mathematica\Math\Math\Math.NET5.vbproj : warning NU1510: PackageReference System.Drawing.Primitives will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary. [g:\pixelArtist\src\framework\Data_science\Mathematica\Math\Math\Math.NET5.vbproj::TargetFramework=net10.0]
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Drawing.Primitives will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Reflection.Emit will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Text.Encodings.Web will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Text.Encoding.CodePages will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Runtime will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Linq.Queryable will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Net.Http will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Net.WebHeaderCollection will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.IO.Compression will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Private.Uri will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Net.Requests will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
=== SpringForce.doForceLayout ===
warning, 112 ms - Target source sequence is nothing...[Clone]
warning, 115 ms - Target source sequence is nothing...[Clone]
warning, 115 ms - Target source sequence is nothing...[Clone]
warning, 117 ms - Target source sequence is nothing...[Clone]
warning, 117 ms - Target source sequence is nothing...[Clone]
warning, 117 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
warning, 118 ms - Target source sequence is nothing...[Clone]
  bbox=(118.3,0.0)-(1692.8,884.2) size=(1574.4x884.2) minPairDist=7.821 nan=0
  [PASS] 布局合理：不塌缩、无 NaN、节点不重叠
=== SpringEmbedder.ForceDirectedLayout ===
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 674 ms - Target source sequence is nothing...[Clone]
warning, 675 ms - Target source sequence is nothing...[Clone]
warning, 675 ms - Target source sequence is nothing...[Clone]
warning, 675 ms - Target source sequence is nothing...[Clone]
warning, 675 ms - Target source sequence is nothing...[Clone]
warning, 675 ms - Target source sequence is nothing...[Clone]
warning, 675 ms - Target source sequence is nothing...[Clone]
warning, 675 ms - Target source sequence is nothing...[Clone]
warning, 675 ms - Target source sequence is nothing...[Clone]
warning, 675 ms - Target source sequence is nothing...[Clone]
warning, 675 ms - Target source sequence is nothing...[Clone]
warning, 675 ms - Target source sequence is nothing...[Clone]
warning, 675 ms - Target source sequence is nothing...[Clone]
warning, 675 ms - Target source sequence is nothing...[Clone]
warning, 675 ms - Target source sequence is nothing...[Clone]
warning, 675 ms - Target source sequence is nothing...[Clone]
warning, 675 ms - Target source sequence is nothing...[Clone]
warning, 675 ms - Target source sequence is nothing...[Clone]
  bbox=(165.0,331.0)-(763.0,764.0) size=(598.0x433.0) minPairDist=10.198 nan=0
  [PASS] 布局合理：不塌缩、无 NaN、节点不重叠
=== RadialLayout ===
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
warning, 959 ms - Target source sequence is nothing...[Clone]
  bbox=(562.8,412.2)-(1696.2,863.4) size=(1133.4x451.1) minPairDist=0.352 nan=0
  [FAIL] 节点重叠（最小两两距离过小）
=== CircularLayout ===
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
warning, 968 ms - Target source sequence is nothing...[Clone]
