,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,label:cluster
her,0.06938179699848616,-2.310113903140809,0.45596140878926816,-2.993257282447227,2.3503840833958565,-1.1668783354870733,1.5430150861621186,0.6362415957481162,1.570195681928206,4
desire,-0.7623713869546676,-1.8527365972224843,1.037041704127385,-3.28724569342753,2.187449341541953,-0.9359698999203686,2.3692082660315514,-0.142670994857397,0.9990321206258319,8
These,-0.1989446702038539,-2.091022742087416,0.6084518569897951,-3.0769214348502905,2.3682804847631385,-1.2736826285621399,2.1269323337609025,0.5370922023567652,1.8187432347200645,4
people,-1.3162574561009746,-1.7036742594854728,0.38834001447712935,-3.4715461062008566,1.2938533870459865,-1.1563187603580676,1.6056811707948886,0.10041876949399625,1.155838718280742,3
little,-0.3747647443504768,-1.6414743010530068,1.3461052688941526,-3.3903388131554717,1.943564090329833,-1.3896258892588862,1.9589826808587767,0.134944040219046,1.5179693745982403,8
window,-1.360182864259039,-2.723554611397753,1.082712027565196,-3.2415262543028542,1.733932251852205,-1.494178472722543,1.8938374239475035,-0.03037308296152771,1.7860878494314043,5
at,-0.2277934161084448,-2.4034465355606836,0.874136071387963,-2.681739429377004,2.278742313907608,-1.7066788340265087,1.6759462226447688,-0.24658252241373008,0.8864917114633893,2
back,-0.626558238393195,-2.2745265300507898,0.8814124395528461,-3.7267357676588264,0.9382217619660564,-1.3875831672810517,2.0359689502368727,-0.16613582251948097,1.310880493852754,7
of,-0.05859684967212104,-2.047465327226293,0.6188336745136643,-3.529363411455806,1.0271781124923232,-1.5362542634590326,1.2822151051431228,-0.11943260680946508,1.3025989266432103,7
their,-0.4631463171598429,-2.1369765277772745,-0.07037755656096704,-3.5057342218869776,0.9213111303936601,-1.670579333374559,1.607098826311601,-0.27537701805943243,1.946502709758847,7
house,-0.9130580290163155,-2.3885729032909584,0.18961275258194107,-2.8699181767083246,2.171657073317614,-1.3410193686488547,1.4193249455812682,-0.24915070084666138,0.7117467707669831,2
from,-0.4872774408176813,-2.0986559983409285,0.9343162741436558,-2.8004687467795155,1.4451765017475884,-1.9831826988314032,1.1750159961088762,-0.49810460445085747,1.5080598399351766,9
which,-0.15785617958653134,-2.061591531681543,1.3300434594643438,-2.96021097550448,2.2413387311186206,-1.4270736462710494,2.0004908443799363,0.13138989706983448,0.8871794338166792,8
splendid,-0.699195597578628,-2.7214561756972753,0.6155224645713683,-3.297610599650422,1.5615306060745329,-1.0187960262221387,2.202274556193641,-0.22052606335353422,2.163893728803053,1
garden,-0.6486933380759766,-2.487099581644825,0.7847578596453137,-2.9532645889101383,2.5555309429806394,-1.2019005306856219,2.1065440452818107,0.4476493425720424,1.1327553159217572,5
could,0.19077144005526434,-2.655729849399122,0.6770875818219965,-3.3730535443365883,1.6389338436075895,-1.073399773086098,1.3888381200086877,-0.44524922643644943,1.6929448294728748,1
be,-1.0325628063962988,-2.0105872244454916,0.5669896203630008,-3.393766135669763,1.0439799695273984,-0.9660016382482742,1.7662248310575788,-0.5426280838142743,1.6723446643841948,1
seen,-0.3237072679068292,-2.725203149520475,0.5967871487654225,-3.5922248399632815,0.9028984596902638,-1.4156334304271487,1.440640621169657,-0.1948276833093339,1.4817857428767058,7
full,-0.5000597219277887,-1.6730808637120045,0.5788411297538484,-3.836778144504082,2.010860790702016,-1.0308293611797745,1.8656461429561348,-0.09491300646233336,0.7601311403106131,8
most,-0.8149305639335573,-2.7708638321143835,0.6220258439408453,-3.0824030602061323,1.3547858334683907,-0.5246885648632907,1.3249451987976697,-0.3024363091624335,1.627182950480815,1
beautiful,-0.2237976295433614,-1.5959627820813314,0.25122517188576304,-3.322896880588979,1.2175485304925224,-1.1695390997494233,1.6917441309851038,-0.11116299389182593,1.0716559062354056,3
flowers,-0.6800573492354095,-1.6631039788906787,0.1331912013508921,-3.5016403334899575,1.2302624848705914,-1.5286177609181322,1.2151505496058417,0.2090358758151861,0.9919662890023928,3
herbs,-0.27949692388391834,-2.3589597027741456,0.4679859693700842,-2.739399087332162,1.3234542729511352,-0.9662839621374512,1.8932868785011854,-0.6872126154571763,1.4897865830287045,1
It,-0.4158547545591253,-1.9559851040636556,0.6942915349650809,-3.730579337820522,1.597467780369582,-0.9921083073977169,1.294881618024427,-0.3398304207408074,2.1574676497784484,1
however,-0.037673772012269645,-2.202170094911831,0.31686580892683947,-2.512420001958671,1.4433559227899213,-1.1698375471783848,1.6626047053032638,-0.5289799218232191,1.5012344278685001,1
surrounded,-0.6256503769357676,-2.5310516182131915,-0.0073488274464794025,-2.670730184490101,2.2993139597090755,-1.4397824891091688,1.7186563083206072,-0.24927917775732344,1.2095228987324278,2
by,-0.12075996590045521,-2.0795173519484327,0.5900494695566183,-3.876405901921773,1.6618477994142353,-1.2944475685396266,1.8164682820447624,0.4784821773804138,1.9282449442931657,7
high,-0.908725905277706,-2.7547758358404235,1.041186906355332,-3.299961117725579,1.2856433710341597,-0.7301495327437639,1.6245787784968457,-0.21232972267552971,1.2131715941903254,6
wall,-0.6754131412712268,-2.5275020243847104,0.9267764561488906,-3.4812968594595546,2.006602397811483,-1.8504056260822415,1.5130547870844169,0.6149771381199409,1.9629828847411912,4
no,0.28917711821157444,-2.4235873749898444,0.2833855400603125,-2.688756745287727,2.112958058947244,-1.375747768698219,1.352694707414692,-0.0003969599435957303,1.6330008957774882,2
one,-0.21422093127753156,-2.8150045869040152,0.6431754422574415,-3.2562183517543404,1.9289274489759993,-2.018752343497384,1.4263957968946035,-0.1308808758401336,1.5117498236960534,2
dared,-0.0855904491639922,-2.1257289263825463,0.9586892477605402,-2.4270552333452526,1.7456051405478852,-1.5290490340891683,2.037201387634827,0.10816989930989183,1.3432317717791535,2
go,-0.366064417844339,-2.2505719869651712,0.6960348253138179,-3.0692559726427615,2.464938799570745,-1.3257576123393013,1.6697269564483184,-0.08016801295474726,0.6904452728621209,2
into,-0.6712194951234152,-2.8223519944489452,1.4747760724973373,-3.2662086809034756,1.7472085571501546,-1.581378203829577,1.8118736036297125,0.29814275534547846,1.5003337270550248,5
it,-0.5888066692088384,-1.8518245361086236,0.5565567109022774,-3.2746341077291308,1.4283601695559835,-1.208117297932396,1.4668535895525923,0.8826840655596903,1.5359039515718351,4
because,-0.4951473747747574,-2.526580818862847,1.2177765095683526,-3.67037191253339,2.100722783277615,-1.3028871323168596,1.3576955365465433,0.15650120047543734,1.2459976051952721,8
belonged,-0.6118721716071087,-2.119627999621528,0.7819940789217772,-3.1741385188760898,1.3509425882134187,-0.8424674450049836,2.4116619988731363,-0.23724541048731104,1.8383361842624966,1
an,-0.7862808627473468,-2.6987285030491592,0.8951700335372973,-2.8552324569783303,1.8086088210248563,-1.549000401493776,1.6208224349536744,0.8820417599277994,1.1101829912534102,5
enchantress,-0.8330393809127165,-1.8024411593750502,0.7806689720637481,-2.984942076078051,1.8141056031858012,-0.9786848458097457,1.7774472536303552,-0.08683711648033604,0.5636292359166701,6
great,-0.8899914847900072,-2.0412149895394522,0.8796743850036683,-3.1868017680841003,1.9241924399350023,-1.2059064447542405,1.060921447514252,0.6006803016953073,2.1288097857671593,4
power,-0.6087055134293865,-2.3251605454574973,0.7949299742522224,-3.5861681383502555,1.786228746089176,-0.7403269135757847,1.461215641169015,-0.285075307049562,2.2804157622989436,1
dreaded,-0.5779675361622979,-2.1957618354309925,0.2936306779850913,-3.293876403222223,0.8373642598174976,-1.5562756227844103,1.440452308073623,-0.5560197340610319,1.85016214588675,7
all,-0.3300759936610804,-2.492756128864376,0.2628133376136204,-2.819590886574816,2.3966757364835445,-1.3287974344317415,2.0012204885222467,0.6141447644653641,1.443155374770473,2
world,-0.964143043518964,-2.238199301105528,0.9753019761902793,-3.2331392649702644,1.5247123794984228,-1.4434508936207855,1.3081637633259215,0.7297223041705138,2.1550054099892413,4
One,-0.6155660043597532,-2.7952216597533486,1.3225463368054542,-3.099268010189466,1.2205412582398343,-1.453270308377683,1.431914113912044,0.32219423941972264,1.6806659794262009,9
day,-0.20534377898642664,-2.260160089560255,1.1163489231065433,-2.3817976873363023,1.426892297471841,-1.6533586353648129,1.3082784321597436,0.4843143101044305,1.6083176461378759,9
standing,-0.7339872224152137,-2.251466887793841,0.7489491220618355,-3.3179259328869115,1.7846488922141495,-0.7823552680937834,2.1024610697916164,-0.4033601815641137,0.6277131029692784,6
this,-0.1498956166650071,-2.986990289347294,0.19846630928932016,-3.3704687392754744,1.8810337236215566,-1.207931048279914,1.5955624248593403,0.4165887638604491,1.3558501890962544,2
looking,-0.42032661847273,-2.1693627844950916,0.18043607883642893,-2.8237192168908734,1.9861907074348855,-1.8794408977263626,1.4500309343005386,-0.523659556753004,1.60082485699343,2
down,-0.7910846680250422,-2.5498671015218486,0.8045063769078666,-3.383512932503315,1.1052284929896465,-1.0764654988308477,0.9598476361254384,0.010332475720075127,1.9355078465192854,9
when,-0.5166053551327016,-2.60176321881896,0.8874541413450214,-3.449089618965536,0.8306380827034817,-1.3690736140820778,1.252180768203221,-0.2569503176152837,1.4720669152909511,9
she,-1.1545761459590997,-2.367407049587545,0.8916726865899613,-3.0190503202863814,1.5969189192991058,-0.5787389895613215,1.7376967062768551,-0.45017321901060214,0.9390331918060769,6
saw,-0.6349816024345143,-2.211150220814208,0.3638702996948619,-3.0532308626095963,1.5739103098575307,-0.6325468548496291,1.0635566904989004,0.46925076146258027,1.7839629908768226,4
bed,-0.2794496533931874,-2.1187057603333534,0.049574171275109505,-3.414518464709216,0.9025247329719384,-1.6459509162172694,1.6161691163667369,-0.21165705294671217,2.0151417697683627,7
planted,-0.8223800587953285,-2.8407174526618513,0.7630780238934839,-3.0212458487893166,2.5833372352079684,-1.5620153280496225,1.7773498955439058,0.07753644433308403,1.1520684640988454,5
with,-0.18631947917060301,-2.7262708502042536,0.4757794060843465,-3.583588170124806,1.497205023542304,-0.8383660422128532,1.9660727002571665,-0.20339984346894982,1.7253748832773987,1
rampion,-0.8725635673390467,-1.981431277455629,0.3378004530047781,-3.849119339156992,1.7622812150573366,-0.9750814125621088,1.8863984459671945,-0.006773324472561653,0.7756049536118631,3
(rapunzel),-1.1243036495382641,-2.5555857309988768,0.5712781073143468,-3.0853013172161243,1.62779060889423,-0.7969341169485411,1.7621055412929896,-0.1344982962139922,0.7100231943214849,6
looked,-0.6630617060315601,-2.1727291860343882,1.29319561915993,-3.8569053406517306,1.773980824843901,-1.0957218976712513,2.0571798131366617,0.0327771165766548,1.0629572347401703,8
so,-0.5256043854981847,-1.9774851476867836,1.1423618577790204,-2.4768696696217125,1.071517564049102,-1.4353701108733543,1.0778599766212704,0.14617335778677804,1.7253860420157643,9
fresh,-0.22022631382328664,-2.6288921491396735,1.2433291126160602,-3.116434287517193,1.0597472297581814,-1.6109774508750085,1.2840158272247226,0.025494296945319572,1.2915446421597037,9
green,-0.2344816987438758,-1.892622971115617,0.7686727693076822,-3.6955858224520908,1.9788294342137183,-1.1809656976219738,1.9855116642011412,0.47481608648116813,2.000199957293479,4
longed,-0.2123504876902578,-2.328303638442086,0.4540877628004984,-2.8619775216823626,1.8589384363871704,-0.7016321976416029,1.0330764039708147,0.17381682916096391,1.8030361709904161,4
greatest,-0.8512286376294707,-2.079137988637072,0.5287962791968648,-2.89522058655094,1.7627462779329246,-1.3656696457249653,1.2629259238910002,1.0217229032180621,1.7213097374922712,4
eat,-0.8036668764229805,-2.412600730042739,0.49065927639767126,-2.891375592465411,2.4331468305244557,-1.9180335496209013,1.6945880438997145,-0.22668074056253368,1.4580182295757562,2
some,-0.11768139415649975,-2.4128292904784936,0.8863266055398592,-3.617202799037825,1.845339833994409,-1.1310491421648374,0.991536665545,-0.020659621259381884,1.2303264088410324,1
This,-0.16708060481342238,-2.686054078264546,1.1441919752403693,-3.2645595234341753,1.8364881361067307,-1.681931751433887,1.8372259067994094,0.33122430442261963,2.1260469467627767,4
increased,-0.2108676827309749,-2.561741614953686,0.25315556866193917,-3.617087912021222,1.8760509518084674,-0.9741460921995698,1.3749232670459324,0.1862620153005809,0.9578298408837278,3
every,-0.38711639039314666,-2.247827295721311,0.02161897935403017,-3.1411126643530958,2.359626326100311,-1.3716796165587832,2.0254038275538346,0.2978528213948438,1.7553395536223,2
as,-0.269778190115973,-2.579126083097948,0.3570197383429098,-3.7678387198978687,1.399319813245013,-1.017911296912577,1.4527780889389972,-0.39083451535778624,1.9602624098133252,1
knew,-0.11466968686249092,-2.2170986674722206,0.47672413951714454,-3.4380033217106423,1.4171068319315898,-1.4792155454557943,0.8194739991634119,0.10516102824834007,1.7589465162632891,4
not,-0.0458989959053894,-1.8448243782636955,0.8849344148229518,-3.500745332541461,1.5239148681154457,-1.32945718320064,2.0736917165137556,0.287907538150422,1.9062449766201461,7
get,-1.079294113966425,-2.5925873819290906,0.5029997814556167,-3.3238271417333065,1.7485110399344266,-1.5899657138443533,2.385250622919164,0.09378475797824401,1.4171424395844656,5
any,-0.16899643798506594,-1.7816469086676525,1.0163477456162304,-3.209751090581622,1.3015773355515694,-1.492892574240744,1.9786249613185443,0.5837012803628824,1.23404275938493,8
quite,-0.31563271379381735,-1.6731253392381171,1.1567486028094904,-3.7295245349198103,1.7586942170238304,-1.3842731348135242,1.7561547368312935,0.23916743342420163,1.2657644891628852,8
pined,-0.5393139104787675,-2.765718652726249,0.38269328923331075,-2.986873609312775,2.6419891995487434,-1.4375068751921374,1.6973661411366023,-0.1377100640440178,1.1845450522940544,2
away,-0.18010154615221521,-2.2484216317480468,1.0960928043950968,-2.4777884302594884,1.42642512445793,-1.6485820102607942,1.2756306060370628,0.6091381400956801,1.7840807563879568,9
pale,-0.457524312215468,-2.429659523183788,0.8699655059157196,-3.130868421941306,1.3412190449219854,-0.6870877748704832,1.4043950712505595,-0.10125304958141866,2.1659260066342023,1
miserable,-0.7974536690179259,-2.1518755068649167,0.7578635198592468,-3.260977775189926,1.8987891018135512,-0.9305751754546844,1.2139027524675852,0.6327105907791517,2.1121524670472547,4
Then,-0.7312924180912458,-2.573051353855107,0.33319043175033713,-3.246824514951954,1.7862177892870066,-1.614642192250372,2.5953728697559906,0.09052309801429848,1.4714517274484495,5
husband,-0.6776438030587946,-2.784678748451095,0.45802847188416534,-2.9679974096310104,1.4601974601773307,-0.8636369519754417,1.8419185433425416,-0.26411665869122286,0.7566015531773611,6
alarmed,-0.9036059151900973,-2.6190086820898646,0.7408414102637738,-2.973301770059094,1.4462180386597874,-0.4592538154925394,1.5498406881872577,-0.3296583440022575,1.629333007738071,6
asked,-0.3582371807670763,-2.0208339280730447,1.36263599716124,-3.0947114476154156,2.2945368501898344,-1.2603772876613344,2.2399567818391977,0.10549835224168183,0.9314338489029318,8
What,-0.20499557345727865,-2.43775113957454,0.6949812457615716,-3.6186404209755763,1.6588182818595456,-1.48609268527792,0.9724825751170293,0.21479897823126756,1.0178133676489578,3
aileth,-0.2374884932233626,-1.873420663969685,0.8082000233883243,-2.806816010159584,1.2316097241947799,-1.474773147137041,2.2230529325528945,0.06011378404107701,1.036627991983377,8
thee,-0.07602488245274554,-2.4697710302810827,0.7103532820260952,-2.992429142172077,2.0452116823883153,-1.9537471042830745,1.3146201176162549,-0.13043013256832975,1.745377346820254,2
dear,-0.31565666972511347,-2.400372040782201,1.2920060285509563,-2.7465296757062383,1.4049240592510805,-1.643095856508549,1.3207427151366709,0.7523025946917251,1.6717599239098773,9
wife,-0.12832572093242045,-1.816420322059985,0.1373572000089106,-3.84195642269236,1.5660813807858773,-1.5433982324058968,1.7750461985829316,0.1976768824129874,1.3769713363526443,7
Ah,-0.19587963714636258,-1.9989451651605377,0.09251429632823084,-2.356735863723056,1.4498828551043184,-1.2510624975272924,1.4283819859696156,0.04398391467671293,1.5141611785469156,2
replied,-0.3416026917401863,-2.4472582163861314,0.9134767169177124,-2.1932346790697275,1.7611299179425925,-1.0176284897141312,1.6997852855203697,-0.052242385406161,1.1169268625667403,2
if,-0.49636033835463017,-2.362613092716169,1.290103447576783,-3.830570539484348,1.3760977496693427,-1.2579460557302924,1.9987257957902742,-0.034919217386756726,1.3488031803934168,8
I,-1.3793372114754963,-2.7138924607940536,1.1977885381876303,-3.3381957442927708,1.648240256013277,-1.41467764626931,1.7573094588042553,0.011090474733248978,1.5764258661412858,5
can't,-0.36178869374124056,-2.590957126504124,1.3386029547691536,-3.1575767626795703,1.825982114518587,-1.0626858246248554,1.706730153982522,0.05330154890095136,0.8257406082367844,8
is,-0.9607301952876226,-2.1084290582042704,0.05030673258996425,-2.877765310665635,1.7027955911801569,-1.5157534010767333,1.3530107230398034,-0.14460357740724514,0.7245706489300016,3
behind,-0.24156060555689407,-1.6484884925094565,0.02598286678179869,-2.8330171081041833,1.362370644038565,-1.1205377919387334,1.688839346399281,0.050910268560596536,1.4756912771792257,7
our,-0.19696648909706205,-2.091182867135484,-0.10081041312043913,-3.2195698802011745,1.3139188381895985,-1.448879369205781,1.8329571574558245,-0.2646292012245871,2.0991560394016937,7
shall,-0.9440251239251654,-1.7272248094011542,0.04180247708628161,-3.5584619814030103,1.1938136908337549,-1.6094364855441456,1.4300751170788393,0.12657292845182352,0.9920323098838484,3
die,-0.8184829943833002,-2.5062349580934526,0.9089681451963109,-2.8221167083070715,1.2906802383660783,-0.6254054050367432,1.6969675051665558,-0.4594101489766303,1.5188426483438187,6
The,-0.7870905925627663,-2.1071105897622466,0.1962589985153559,-2.7637444184619957,1.3646712271845758,-1.1770637868965668,2.0798938356734284,-0.29037366181682106,0.8831087802650817,6
loved,-0.6237787913548125,-1.992294892016856,0.40867869854644,-2.771843750947434,1.464957747993633,-1.0524050410712722,2.353476913853808,-0.4176909719900708,1.177798467705004,6
thought,-0.6169330036952151,-1.6265000268542582,0.3481562679004096,-3.692928676336937,1.8046549518520247,-1.1298802113178887,1.7755458341640817,-0.016627353061026053,0.5562811396490986,3
Sooner,-0.7021510303507732,-1.6946247517493087,0.9866284473940509,-3.0576920627288926,1.830945810809545,-1.1835560326023709,1.2214922650816682,-0.4780128104654714,1.9325192479587872,9
than,-0.2318328051417568,-2.482380107591154,1.324382147678042,-3.260456795181177,1.6986709661382893,-1.6410862329546674,1.894762659934086,0.5805549135228699,1.527552802429906,5
let,-1.4499233245719374,-1.983940441864223,0.394230318048741,-3.0638891714842513,1.6457176929664707,-1.0940067983361856,1.5262490643374342,-0.004428973117270332,0.9818926838147085,3
thy,-0.47701634603907583,-2.2395406074074784,0.2613372254456105,-3.535642982443647,1.6076990980838068,-0.9923654278395585,1.2162220670797987,0.6674700543015406,1.9734405176329213,4
bring,-0.5165805993716077,-2.6457611011918427,0.14946389137902524,-3.2649266965056802,1.3940261069600972,-0.9939630280705932,1.293406483172691,0.41508413640906816,1.9783766149257744,4
thyself,-0.46796402446614355,-1.690569507146789,0.4478698618969641,-3.332420076920482,1.2169586482711192,-0.9043824866814488,1.5830599125592342,-0.3122413509375988,0.7940132327215015,3
cost,-1.202674691136239,-2.259259022889133,0.8040546902602355,-3.265654367283612,1.2873748813928454,-1.057847930804916,1.2403734653450431,0.028709445666046524,2.236032632023853,9
what,-0.7436407930713828,-2.373222309724402,0.5179148997477061,-3.0966644012466924,1.9763155123461442,-1.3536516087347092,1.1348949247294644,0.9736548068911134,1.7065735031865068,4
will,-0.8137890532267611,-2.5721697853815204,1.0177459968278018,-3.3329751973987114,2.291120425157054,-1.779604507092312,2.0219021905031944,0.3999352189889799,1.5213709371302357,5
In,-0.44799783458790654,-2.4564881089470103,0.4365782753887554,-3.1783984095940223,1.5985651976972886,-1.071910364555178,2.2025789022919295,-0.55528168297385,2.0701400262168503,1
twilight,-0.9347022710237102,-1.850346499996839,0.7794185583010138,-3.8831404624820873,1.3280573304661558,-1.6277244870469396,1.7663254376565531,0.11791104290088403,1.1159116995941034,3
evening,-0.1307213056122217,-2.3630413413138194,1.2677971263113368,-2.4931034541656256,1.8007044782033768,-1.7146239139339297,1.743064287506334,0.4872186376026421,1.4361620894932032,9
he,-0.2435944066471046,-2.5625401834658237,0.3185443045026517,-3.2585104714773236,1.89995528799667,-1.2184482267284449,2.3200149106342347,-0.36086506608164887,2.102200623779341,1
clambered,-0.8456612491081584,-1.9544637568595866,0.9417205110581324,-3.257851094954819,2.259131841539771,-0.8799606410791099,2.3702833320580954,-0.13246346531460004,1.4150657129119717,8
over,-0.6951599511098074,-2.0845593386806294,0.03356880773328199,-2.7420257032146353,1.0622579398443073,-1.4713803825783751,1.2674220498001758,0.0436794937493423,1.3985706298250329,3
hastily,-0.40244809163972156,-2.4130917817099053,0.8900198211329651,-3.0650874794645975,2.452212686875531,-1.5116892361870475,2.0580981873714213,0.5882668926945422,1.8003603212605204,5
clutched,-0.26368474165547523,-2.661520372302015,0.5441995247955603,-3.262894616468216,2.113128828631723,-1.1586897195970647,2.0857744490746,-0.3054168592914167,2.1438712769174733,1
handful,-0.512206153028795,-2.8778311111834736,0.536979964341552,-2.803272023738992,1.9911803007035147,-1.3479976635093063,1.4879027301301309,0.8397805672869909,1.340471815179844,4
took,-0.5282042446959745,-2.735848496713107,-0.08810825665212073,-3.144762756938509,2.1079873750433893,-1.4358095654464997,1.7194676420934532,-0.28324051310699017,1.6963080430138,2
his,-0.7963944061404999,-1.982299516281244,0.861045541864046,-3.9775862784706706,1.4179284968595551,-1.1722622656397375,2.0320370528568077,0.13053479882369454,0.9480724715374046,8
She,-0.9344779410925538,-1.9248753674401455,0.459938759349347,-3.047253865587045,1.6797996824437786,-1.3524617109905273,1.3043995630195517,0.987148953928856,1.3997075516710027,4
made,-0.45163565350046625,-2.3724724031540037,-0.03400696320859538,-3.8757953783712726,1.1598917767299282,-1.4939495574425123,1.8841764049947813,-0.0867966425176192,1.9694464527013373,7
herself,-0.1887511358403224,-2.414732619588122,0.9579293519899574,-2.9228912671300726,1.545944663667137,-1.699770270420962,1.2238673983980999,0.9113955107078271,1.8970556606462035,4
salad,-0.43481196013893575,-1.9782523233159657,0.8936070861886202,-2.878095933139741,1.2445830112869785,-1.854940929789635,1.0445843707507383,-0.4897077632721126,1.5137838316988497,9
ate,-0.9417575322073676,-1.9478725030429347,1.2968752880930916,-3.223179392819875,2.2840814325051286,-1.0598374836490871,2.223910009616845,-0.06624481424644511,1.2235125564825868,8
much,-0.4936418994636142,-2.639855106794322,0.2841382713606716,-2.8535868960676902,2.4935331197679416,-1.5200205807835465,2.074759134322286,0.4051132647599284,1.609845746095461,2
relish,-0.4040055887939787,-2.362873467264917,0.09013865253319711,-3.7626092884588536,1.1889904252302361,-1.5219364148184793,1.3290394672356816,0.41299323841777213,1.3489526719544203,7
liked,-0.5395956679868005,-2.9370460064862853,0.5632869246669148,-2.8548060295787914,1.1021061438282105,-0.948983357296454,1.487332907280467,-0.028217087624572347,1.138491408061551,6
much—so,-1.2860618997518116,-1.9689573856359757,0.9034718224688627,-2.9675871061276893,2.1356810227699574,-1.4613432780826279,2.1329554599615985,0.20365263547592774,1.924411663916851,5
very,-0.848446467483382,-2.6787618437431595,0.7803047229545483,-2.9966873724261753,1.7441962043914485,-1.2451824395179971,2.3187060619162936,0.012318133934979991,2.123238555315306,5
next,-0.5783547508983455,-1.8905958800779448,1.284340393803697,-2.955179247508155,1.7049789407600695,-1.7574402323267244,1.8791053624677718,0.030034231512195968,1.862301947526327,9
