Checked,Name,Formula,Annotation Source: Predicted Compositions,Annotation Source: mzCloud Search,Annotation Source: Metabolika Search,FISh Coverage,Molecular Weight,RT [min],Area (Max.),# mzCloud Results,# Metabolika Pathways,Metabolika Pathways,mzCloud Best Match,mzCloud Best Sim. Match,MS2,Group Area: F3
TRUE,"2-{[4-methyl-5-(2-naphthyl)-4H-1,2,4-triazol-3-yl]sulfanyl}-N-phenylacetamide",C21 H18 N4 O S,No match,Invalid mass,No results,,374.12352,10.211,1694930913,6,0,,95.3,,DDA for preferred ion,1694930913
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,"(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl N-[1-(6-methyl-3-pyridyl)ethylidene]aminomethanehydrazonothioate",C18 H19 F N4 O2 S,374.12127,93.9,,Autoprocessed-6185,,,Autoprocessed,,,,,,
,TRUE,"(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl N-[1-(6-methyl-3-pyridyl)ethylidene]aminomethanehydrazonothioate",C18 H19 F N4 O2 S,374.12127,93.9,,Autoprocessed-6185,,,Autoprocessed,,,,,,
,TRUE,"(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl N-[1-(6-methyl-3-pyridyl)ethylidene]aminomethanehydrazonothioate",C18 H19 F N4 O2 S,374.12127,93.9,,Autoprocessed-6185,,,Autoprocessed,,,,,,
,TRUE,"2-{[4-methyl-5-(2-naphthyl)-4H-1,2,4-triazol-3-yl]sulfanyl}-N-phenylacetamide",C21 H18 N4 O S,374.12013,95.3,,Autoprocessed-5391,,,Autoprocessed,,,,,,
,TRUE,"2-{[4-methyl-5-(2-naphthyl)-4H-1,2,4-triazol-3-yl]sulfanyl}-N-phenylacetamide",C21 H18 N4 O S,374.12013,95.3,,Autoprocessed-5391,,,Autoprocessed,,,,,,
,TRUE,"2-{[4-methyl-5-(2-naphthyl)-4H-1,2,4-triazol-3-yl]sulfanyl}-N-phenylacetamide",C21 H18 N4 O S,374.12013,95.3,,Autoprocessed-5391,,,Autoprocessed,,,,,,
TRUE,D-(+)-Maltose,C12 H22 O11,No match,Invalid mass,No results,,364.09764,1.891,1555403891,2,0,,86.6,,DDA for preferred ion,1555403891
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,D-(+)-Maltose,C12 H22 O11,342.11621,86.6,,Reference-6213,C01971,Endogenous Metabolites; Excipients/Additives/Colorants,Reference,,,,,,
,TRUE,D-(+)-Maltose,C12 H22 O11,342.11621,86.6,,Reference-6213,C01971,Endogenous Metabolites; Excipients/Additives/Colorants,Reference,,,,,,
TRUE,D-(+)-Proline,C5 H9 N O2,Full match,Full match,Full match,,115.06342,1.681,1199665406,2,4,Superpathway of L-citrulline metabolism;Other,99.5,,DDA for preferred ion,1199665406
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,D-(+)-Proline,C5 H9 N O2,115.06333,99.5,,Reference-1783,C00763,Endogenous Metabolites,Reference,,,,,,
,TRUE,Proline,C5 H9 N O2,115.06333,96.5,,Reference-560,C00148,Endogenous Metabolites,Reference,,,,,,
TRUE,DL-Stachydrine,C7 H13 N O2,Full match,Full match,No results,,143.09444,1.737,1144784840,5,0,,99.6,,DDA for preferred ion,1144784840
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,NP-021733,C7 H13 N O2,143.09463,60.2,,Autoprocessed-5679,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,1-Aminocyclohexanecarboxylic acid,C7 H13 N O2,143.09463,99,,Reference-106,,,Reference,,,,,,
,TRUE,1-Aminocyclohexanecarboxylic acid,C7 H13 N O2,143.09463,99,,Reference-106,,,Reference,,,,,,
,TRUE,DL-Stachydrine,C7 H13 N O2,143.09463,99.6,,Reference-837,,Endogenous Metabolites,Reference,,,,,,
,TRUE,DL-Stachydrine,C7 H13 N O2,143.09463,99.6,,Reference-837,,Endogenous Metabolites,Reference,,,,,,
TRUE,"4-[4-(4-Hydroxy-3-methoxyphenyl)tetrahydro-1H,3H-furo[3,4-c]furan-1-yl]-2-methoxyphenyl hexopyranoside",C26 H32 O11,No match,Invalid mass,No results,,542.17571,9.519,1006302373,2,0,,90.1,,DDA for preferred ion,1006302373
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,"[(2R,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[(5-hydroxy-2-methyl-4-oxo-4H-chromen-7-yl)oxy]oxan-2-yl]methyl (4R)-4-(2-hydroxypropan-2-yl)cyclohex-1-ene-1-carboxylate",C26 H32 O11,520.19446,89.2,,Autoprocessed-2768,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,"4-[4-(4-Hydroxy-3-methoxyphenyl)tetrahydro-1H,3H-furo[3,4-c]furan-1-yl]-2-methoxyphenyl hexopyranoside",C26 H32 O11,520.19446,90.1,,Reference-7477,,,Reference,,,,,,
TRUE,"9-Oxo-10(E),12(E)-octadecadienoic acid",C18 H30 O3,Full match,Full match,Partial match,,294.21907,14.68,927180682.4,4,1,Superpathway of lipoxygenase,97.2,,DDA for preferred ion,927180682.4
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,NP-002322,C18 H32 O4,312.23006,91.8,,Autoprocessed-6481,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,NP-002322,C18 H32 O4,312.23006,91.8,,Autoprocessed-6481,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,"9-Oxo-10(E),12(E)-octadecadienoic acid",C18 H30 O3,294.21949,97.2,,Reference-5838,C14766,Endogenous Metabolites,Reference,,,,,,
,TRUE,"9-Oxo-10(E),12(E)-octadecadienoic acid",C18 H30 O3,294.21949,97.2,,Reference-5838,C14766,Endogenous Metabolites,Reference,,,,,,
TRUE,DL-Tryptophan,C11 H12 N2 O2,Full match,Full match,Full match,,204.08964,6.807,660079943.2,3,14,Superpathway of chorismate metabolism;Superpathway of aromatic amino acid biosynthesis;Other,98.5,,DDA for preferred ion,660079943.2
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,DL-Tryptophan,C11 H12 N2 O2,204.08988,98.5,,Reference-415,C00806,Endogenous Metabolites,Reference,,,,,,
,TRUE,L-Tryptophan,C11 H12 N2 O2,204.08988,97.9,,Reference-1830,C00078,Endogenous Metabolites,Reference,,,,,,
,TRUE,D-(+)-Tryptophan,C11 H12 N2 O2,204.08988,97.8,,Reference-3173,C00525,Endogenous Metabolites; Natural Products/Medicines,Reference,,,,,,
TRUE,Oleamide,C18 H35 N O,Full match,Full match,No results,,281.27156,13.582,615250873.1,2,0,,98.6,,DDA for preferred ion,615250873.1
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Oleamide,C18 H35 N O,281.27186,98.6,,Reference-530,C19670,Endogenous Metabolites,Reference,,,,,,
,TRUE,Oleamide,C18 H35 N O,281.27186,98.6,,Reference-530,C19670,Endogenous Metabolites,Reference,,,,,,
TRUE,Choline,C5 H13 N O,Full match,Full match,No results,,103.1,1.488,605550941,1,0,,97.3,,DDA for preferred ion,605550941
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Choline,C5 H13 N O,103.09971,97.3,,Reference-886,C00114,Endogenous Metabolites,Reference,,,,,,
TRUE,D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,,526.15038,1.988,534072622.4,2,0,,98.6,,DDA for preferred ion,534072622.4
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,D-Raffinose,C18 H32 O16,504.16903,98.6,,Reference-1505,C00492,Endogenous Metabolites,Reference,,,,,,
,TRUE,D-Raffinose,C18 H32 O16,504.16903,98.6,,Reference-1505,C00492,Endogenous Metabolites,Reference,,,,,,
TRUE,"[Similar to: (1S,3R,4R,5R)-1,3,4-trihydroxy-5-{[(2E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoyl]oxy}cyclohexane-1-carboxylic acid; ¶§Mass: -192.0638 Da]",C10 H8 O3,Full match,Invalid mass,No results,,176.04697,10.223,515635486.2,3,0,,,76,DDA for preferred ion,515635486.2
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,"(3R,5R)-1,3,5-Trihydroxy-4-{[(2E)-3-(4-hydroxy-3-methoxyphenyl)-2-propenoyl]oxy}cyclohexanecarboxylic acid",C17 H20 O9,368.11073,,66.2,Reference-7814,,,Reference,,,,,,
,TRUE,Cimicifugic acid A,C21 H20 O11,448.10056,,63.6,Reference-7679,,,Reference,,,,,,
,TRUE,"(1S,3R,4R,5R)-1,3,4-trihydroxy-5-{[(2E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoyl]oxy}cyclohexane-1-carboxylic acid",C17 H20 O9,368.11073,,76,Autoprocessed-1738,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,N-(p-Coumaroyl) serotonin,C19 H18 N2 O3,Full match,Full match,Partial match,,322.13115,8.608,496459203,1,1,Superpathway of indole-3-acetate conjugate biosynthesis,99.6,,DDA for preferred ion,496459203
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,N-(p-Coumaroyl) serotonin,C19 H18 N2 O3,322.13174,99.9,,Reference-6228,,Endogenous Metabolites; Natural Products/Medicines,Reference,,,,,,
TRUE,Ergocalciferol,C28 H44 O,No match,Invalid mass,No results,,378.32808,14.527,465914845.7,1,0,,65.1,,DDA for preferred ion,465914845.7
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Ergocalciferol,C28 H44 O,396.33922,65.1,,Autoprocessed-1900,,,Autoprocessed,,,,,,
TRUE,Methyl palmitate,C17 H34 O2,No match,Invalid mass,No results,,287.28194,12.433,454147048.8,3,0,,97.6,,DDA for preferred ion,454147048.8
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Isopropyl myristate,C17 H34 O2,270.25588,93.4,,Reference-6573,D02296,Therapeutics/Prescription Drugs; Extractables/Leachables; Excipients/Additives/Colorants; Personal Care Products/Cosmetics; Industrial Chemicals,Reference,,,,,,
,TRUE,Methyl palmitate,C17 H34 O2,270.25588,97.6,,Reference-6685,C16995,,Reference,,,,,,
,TRUE,Methyl Palmitate,C17 H34 O2,270.25588,71,,Autoprocessed-1912,,Excipients/Additives/Colorants,Autoprocessed,,,,,,
TRUE,Glycitein,C16 H12 O5,Full match,Full match,Partial match,,284.06804,12.99,429829515.3,13,3,Superpathway of isoflavonoids (via naringenin);Other,99.5,,DDA for preferred ion,429829515.3
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,NP-005013,C16 H12 O5,284.06847,97.4,,Autoprocessed-8033,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,"(2Z)-6-hydroxy-2-[(4-hydroxy-3-methoxyphenyl)methylidene]-2,3-dihydro-1-benzofuran-3-one",C16 H12 O5,284.06847,97.3,,Autoprocessed-2292,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,"5,7-dihydroxy-3-(4-methoxyphenyl)-4H-chromen-4-one",C16 H12 O5,284.06847,97.3,,Autoprocessed-1810,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,"(2R,3R)-3,5-dihydroxy-2-(4-hydroxyphenyl)-7-methoxy-3,4-dihydro-2H-1-benzopyran-4-one",C16 H14 O6,302.07904,72.2,,Autoprocessed-2806,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,"5,7,11,19-tetraoxapentacyclo[10.8.0.0??,?a?Å°„.0?Å?,?Å?.0?a?l,?a?Å?]icosa-2(10),3,8,13,15,17-hexaen-16-ol",C16 H12 O5,284.06847,68.1,,Autoprocessed-1776,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,Glycitein,C16 H12 O5,284.06847,99.6,,Reference-428,C14536,Endogenous Metabolites,Reference,,,,,,
,TRUE,Diazepam,C16 H13 Cl N2 O,284.07164,98.9,,Reference-689,C06948,Therapeutics/Prescription Drugs; Drugs of Abuse/Illegal Drugs,Reference,,,,,,
,TRUE,Wogonin,C16 H12 O5,284.06847,97.4,,Reference-5837,C10197,Endogenous Metabolites,Reference,,,,,,
,TRUE,5-O-Methylgenistein,C16 H12 O5,284.06847,97.4,,Reference-7765,,,Reference,,,,,,
,TRUE,Biochanin A,C16 H12 O5,284.06847,97.3,,Reference-6226,C00814,Endogenous Metabolites,Reference,,,,,,
,TRUE,Mazindol,C16 H13 Cl N2 O,284.07164,97.1,,Reference-7308,D00367,Therapeutics/Prescription Drugs; Sports Doping Drugs,Reference,,,,,,
,TRUE,(+)-Maackiain,C16 H12 O5,284.06847,95.7,,Reference-3430,C16229,Endogenous Metabolites,Reference,,,,,,
,TRUE,(-)-Maackiain,C16 H12 O5,284.06847,95.5,,Reference-3431,C10502,Endogenous Metabolites,Reference,,,,,,
TRUE,D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,,526.15038,1.793,429221399.9,1,0,,98.6,,DDA for preferred ion,429221399.9
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,D-Raffinose,C18 H32 O16,504.16903,98.6,,Reference-1505,C00492,Endogenous Metabolites,Reference,,,,,,
TRUE,Betaine,C5 H11 N O2,Full match,Full match,Partial match,,117.07908,1.589,403347892.8,3,8,Superpathway of indole-3-acetate conjugate biosynthesis;Superpathway of L-lysine degradation;Superpathway of jasmonoyl-amino acid conjugates biosynthesis;Superpathway of branched chain amino acid biosynthesis;Other,98.5,,DDA for preferred ion,403347892.8
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Betaine,C5 H11 N O2,117.07898,98.5,,Reference-894,C00719,Endogenous Metabolites,Reference,,,,,,
,TRUE,5-Aminovaleric acid,C5 H11 N O2,117.07898,96.5,,Reference-251,C00431,Endogenous Metabolites,Reference,,,,,,
,TRUE,Valine,C5 H11 N O2,117.07898,97.6,,Reference-772,C00183,Endogenous Metabolites,Reference,,,,,,
TRUE,Cafestol,C20 H28 O3,No match,Invalid mass,No match,,294.21907,14.597,386122069.1,7,1,Superpathway of lipoxygenase,86.5,,DDA for other ion,386122069.1
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Cafestol,C20 H28 O3,316.20384,90.2,,Reference-5863,C09066,Endogenous Metabolites,Reference,,,,,,
,TRUE,"(1S,4aS,5R)-5-[2-(3-Furyl)ethyl]-1,4a-dimethyl-6-methylenedecahydro-1-naphthalenecarboxylic acid",C20 H28 O3,316.20384,87.1,,Reference-7848,,,Reference,,,,,,
,TRUE,NP-014175,C20 H28 O3,316.20384,89.3,,Autoprocessed-5719,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,"7-hydroxy-1,4a-dimethyl-9-oxo-7-(propan-2-yl)-1,2,3,4,4a,4b,5,6,7,9,10,10a-dodecahydrophenanthrene-1-carboxylic acid",C20 H30 O4,334.21441,87.4,,Autoprocessed-6602,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,NP-016928,C20 H28 O3,316.20384,81.9,,Autoprocessed-7816,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,NP-017061,C20 H30 O4,334.21441,91.3,,Autoprocessed-8049,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,"(2E)-2-[2-(1,2,4a,5-tetramethyl-1,2,3,4,4a,7,8,8a-octahydronaphthalen-1-yl)ethyl]but-2-enedioic acid",C20 H30 O4,334.21441,78.1,,Autoprocessed-1471,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,Octadecanamine,C18 H39 N,Full match,Full match,No results,,269.30785,13.918,367092263.4,4,0,,96.7,,DDA for preferred ion,367092263.4
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Octadecanamine,C18 H39 N,269.30825,96.7,,Reference-2976,,Extractables/Leachables; Excipients/Additives/Colorants; Personal Care Products/Cosmetics; Textile Chemicals/Auxiliary/Dyes; Industrial Chemicals,Reference,,,,,,
,TRUE,Octadecanamine,C18 H39 N,269.30825,96.7,,Reference-2976,,Extractables/Leachables; Excipients/Additives/Colorants; Personal Care Products/Cosmetics; Textile Chemicals/Auxiliary/Dyes; Industrial Chemicals,Reference,,,,,,
,TRUE,Dioctyldimethylammonium chloride,C18 H39 N,269.30825,96.6,,Autoprocessed-3036,,Pesticides/Herbicides; Personal Care Products/Cosmetics; Textile Chemicals/Auxiliary/Dyes,Autoprocessed,,,,,,
,TRUE,Dioctyldimethylammonium chloride,C18 H39 N,269.30825,96.6,,Autoprocessed-3036,,Pesticides/Herbicides; Personal Care Products/Cosmetics; Textile Chemicals/Auxiliary/Dyes,Autoprocessed,,,,,,
TRUE,D-(+)-Maltose,C12 H22 O11,No match,Invalid mass,No results,,364.09764,1.692,362521457.8,1,0,,86.6,,DDA for preferred ion,362521457.8
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,D-(+)-Maltose,C12 H22 O11,342.11621,86.6,,Reference-6213,C01971,Endogenous Metabolites; Excipients/Additives/Colorants,Reference,,,,,,
TRUE,NP-000587,C16 H18 O8,Full match,Full match,No results,,338.09967,7.947,338769592.8,1,0,,99.3,,DDA for preferred ion,338769592.8
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,NP-000587,C16 H18 O8,338.10017,99.3,,Autoprocessed-8055,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,NP-001130,C8 H12 O4,Full match,Full match,No results,,172.0734,9.396,327904926.1,1,0,,98,,DDA for preferred ion,327904926.1
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,NP-001130,C8 H12 O4,172.07356,98,,Autoprocessed-8183,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,U-48800,C17 H24 Cl2 N2 O,No match,Invalid mass,No results,,342.12859,6.898,317890636.9,3,0,,86,,DDA for preferred ion,317890636.9
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,U-48800,C17 H24 Cl2 N2 O,342.12657,86,,Reference-8418,,Drugs of Abuse/Illegal Drugs; Sports Doping Drugs,Reference,,,,,,
,TRUE,U-51754,C17 H24 Cl2 N2 O,342.12657,85.5,,Reference-8347,,Drugs of Abuse/Illegal Drugs,Reference,,,,,,
,TRUE,Clozapine N-oxide,C18 H19 Cl N4 O,342.12474,81.4,,Reference-1995,,Therapeutics/Prescription Drugs,Reference,,,,,,
TRUE,D-(+)-Proline,C5 H9 N O2,Full match,Full match,Full match,,115.06342,1.828,304376723.8,2,4,Superpathway of L-citrulline metabolism;Other,99.5,,DDA for preferred ion,304376723.8
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,D-(+)-Proline,C5 H9 N O2,115.06333,99.5,,Reference-1783,C00763,Endogenous Metabolites,Reference,,,,,,
,TRUE,Proline,C5 H9 N O2,115.06333,96.5,,Reference-560,C00148,Endogenous Metabolites,Reference,,,,,,
TRUE,Matairesinol,C20 H22 O6,Full match,Full match,No results,,358.14105,9.522,300442031.2,1,0,,67.5,,DDA for preferred ion,300442031.2
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Matairesinol,C20 H22 O6,358.14164,98.1,,Reference-7908,C10682,,Reference,,,,,,
TRUE,Erucamide,C22 H43 N O,Full match,Full match,No results,,337.33391,14.609,265485622.8,6,0,,95.7,60.2,DDA for preferred ion,265485622.8
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Erucamide,C22 H43 N O,337.33447,95.7,,Reference-282,,Industrial Chemicals,Reference,,,,,,
,TRUE,Erucamide,C22 H43 N O,337.33447,95.7,,Reference-282,,Industrial Chemicals,Reference,,,,,,
,TRUE,Erucamide,C22 H43 N O,337.33447,95.7,,Reference-282,,Industrial Chemicals,Reference,,,,,,
,TRUE,Erucamide,C22 H43 N O,337.33447,95.7,,Reference-282,,Industrial Chemicals,Reference,,,,,,
,TRUE,Erucamide,C22 H43 N O,337.33447,95.7,,Reference-282,,Industrial Chemicals,Reference,,,,,,
,TRUE,Bitertanol,C20 H23 N3 O2,337.17903,,60.2,Autoprocessed-3101,,Pesticides/Herbicides,Autoprocessed,,,,,,
TRUE,Methyl palmitate,C17 H34 O2,No match,Invalid mass,No results,,287.28194,12.53,255527676.7,3,0,,95.1,,DDA for preferred ion,255527676.7
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Isopropyl myristate,C17 H34 O2,270.25588,93.4,,Reference-6573,D02296,Therapeutics/Prescription Drugs; Extractables/Leachables; Excipients/Additives/Colorants; Personal Care Products/Cosmetics; Industrial Chemicals,Reference,,,,,,
,TRUE,Methyl palmitate,C17 H34 O2,270.25588,97.6,,Reference-6685,C16995,,Reference,,,,,,
,TRUE,Methyl Palmitate,C17 H34 O2,270.25588,71,,Autoprocessed-1912,,Excipients/Additives/Colorants,Autoprocessed,,,,,,
TRUE,Cetrimonium,C19 H41 N,Full match,Full match,No results,,283.32359,13.77,242489580.6,2,0,,97.5,,DDA for preferred ion,242489580.6
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Cetrimonium,C19 H41 N,283.3239,97.5,,Reference-2592,C11275,Personal Care Products/Cosmetics; Textile Chemicals/Auxiliary/Dyes; Therapeutics/Prescription Drugs,Reference,,,,,,
,TRUE,Cetrimonium,C19 H41 N,283.3239,97.5,,Reference-2592,C11275,Personal Care Products/Cosmetics; Textile Chemicals/Auxiliary/Dyes; Therapeutics/Prescription Drugs,Reference,,,,,,
TRUE,Trigonelline,C7 H7 N O2,Full match,Full match,Partial match,,137.04749,1.659,235795550.4,8,14,Superpathway of chorismate metabolism;Anaerobic aromatic compound degradation (Thauera aromatica);Superpathway of aromatic amino acid biosynthesis;Other,99.6,,DDA for preferred ion,235795550.4
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Trigonelline,C7 H7 N O2,137.04768,99.6,,Reference-806,C01004,Endogenous Metabolites,Reference,,,,,,
,TRUE,4-Aminobenzoic acid,C7 H7 N O2,137.04768,99.3,,Reference-224,C00568,Endogenous Metabolites; Industrial Chemicals,Reference,,,,,,
